Passengers,mean_monthly_temp
112,3.7
118,2.9
132,3.7
129,6.7
121,13.0
135,16.4
148,15.2
148,16.0
136,14.4
119,10.7
104,7.8
118,4.3
115,9.6
126,4.5
141,4.5
135,4.9
125,7.9
149,11.6
170,12.4
170,16.9
158,15.6
133,14.0
114,11.3
140,6.0
145,6.6
150,9.72
178,3.9
163,4.3
172,6.5
178,8.2
199,10.5
199,11.8
184,15.6
162,15.1
146,11.7
166,10.6
171,6.3
180,5.8
193,9.22
181,4.5
183,4.3
218,6.2
230,7.0
242,11.4
209,14.8
191,15.6
172,16.5
194,14.3
196,9.0
196,6.0
236,4.9
235,9.57
229,5.9
243,5.4
264,5.8
272,8.2
237,11.0
211,13.9
180,15.2
201,15.2
204,12.1
188,7.8
235,6.8
227,8.1
234,9.64
264,6.8
302,4.4
293,4.8
259,8.3
229,9.9
203,14.7
229,17.4
242,18.7
233,13.5
267,9.9
269,6.3
270,5.3
315,10.04
364,5.9
347,4.5
312,4.8
274,8.1
237,12.1
278,17.0
284,18.7
277,17.6
317,13.4
313,10.6
318,6.3
374,2.0
413,10.1
405,2.8
355,5.2
306,6.9
271,7.2
306,10.6
315,12.2
301,15.9
356,15.2
348,13.3
355,11.8
422,6.6
465,6.1
467,9.51
404,3.4
347,2.8
305,6.7
336,6.5
340,11.7
318,13.7
362,14.8
348,15.0
363,14.2
435,11.9
491,8.5
505,3.9
404,9.47
359,-0.4
310,1.2
337,4.7
360,7.8
342,10.0
406,13.9
396,16.2
420,14.9
472,13.5
548,11.3
559,6.8
463,5.8
407,8.85
362,2.3
405,5.7
417,4.7
391,8.8
419,11.2
461,13.8
472,14.7
535,15.9
622,14.7
606,9.0
508,6.6
461,5.6
390,9.42
432,4.9
